temperatura,umidade,velocidade_vento,precipitacao_mm,dias_sem_chuva,brilho,frp,confianca,ndvi,declividade,bioma,estado,estacao_seca,vento_forte,alto_risco
24.0,70.0,8.0,0.0,30,336.2,4.4,65.0,0.5,9.2,Cerrado,MT,0,0,1
24.0,70.0,8.0,0.0,30,342.9,5.3,65.0,0.5,4.7,Cerrado,MT,0,0,0
24.0,70.0,8.0,0.0,30,349.5,5.3,65.0,0.5,7.4,Cerrado,MT,0,0,1
24.0,70.0,8.0,0.0,30,335.1,4.4,65.0,0.5,5.6,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,334.7,4.2,65.0,0.5,9.5,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,348.1,7.8,65.0,0.5,1.2,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,332.7,3.6,65.0,0.5,2.7,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,355.9,9.1,65.0,0.5,20.6,Cerrado,MT,0,0,1
24.5,68.0,7.2,0.0,30,342.2,4.9,65.0,0.5,3.6,Cerrado,MT,0,0,1
24.5,68.0,7.2,0.0,30,332.5,9.0,65.0,0.5,4.5,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,330.7,2.7,65.0,0.5,19.2,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,334.9,3.0,65.0,0.5,24.5,Cerrado,MT,0,0,0
24.4,70.0,7.2,0.0,30,330.1,3.0,65.0,0.5,4.1,Cerrado,MT,0,0,0
25.0,66.0,6.7,0.0,30,330.7,2.9,65.0,0.5,8.2,Cerrado,MT,0,0,0
25.0,66.0,6.7,0.0,30,331.9,2.2,65.0,0.5,11.7,Cerrado,MT,0,0,0
25.0,66.0,6.7,0.0,30,339.3,4.1,65.0,0.5,18.6,Cerrado,MT,0,0,1
25.4,69.0,7.6,0.0,30,334.1,8.5,65.0,0.7,5.1,Mata Atlantica,MA,0,0,0
25.4,69.0,7.6,0.0,30,341.9,19.8,65.0,0.3,8.8,Caatinga,MA,0,0,1
